id,item
0000a4ab-5b34-4884-ab2a-05ec22591fa2,"{""active"":true,""adminFee"":0,""basePrice"":49250,""code"":""AXIS50"",""createdAt"":""2018-01-03T00:00:00Z"",""description"":"""",""id"":""b46bc8ff-eeec-4a07-a366-5eb721e2493d"",""name"":""Axis 50.000"",""operatorCode"":""axis"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
0002e204-2508-42e4-bd14-ca300423174b,"{""active"":true,""adminFee"":0,""basePrice"":49250,""code"":""XL50"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""967c04ff-5e79-448f-a49d-99d3f5bc014a"",""name"":""XL 50.000"",""operatorCode"":""xl"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
0005d1b7-28ab-4698-b500-32bd27bca89b,"{""active"":true,""adminFee"":0,""basePrice"":98500,""code"":""XL100"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""6c348c4c-4898-470f-9738-566f52481787"",""name"":""XL 100.000"",""operatorCode"":""xl"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
0008d831-91bb-47f3-9fcc-1af554d0c30a,"{""active"":true,""adminFee"":0,""basePrice"":3575,""code"":""DATA_INDSTY1"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""0f6ce4d4-0f98-4ca4-b011-3ce5bcc4ed8e"",""name"":""Indosat Yellow 1GB (masa aktif 1 hari)"",""operatorCode"":""indosat_data"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""data"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
0010cff6-a09d-4cb5-806a-78823c20252b,"{""active"":true,""adminFee"":2750,""basePrice"":100015,""code"":""PLN100"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""948338bb-1896-4243-982f-946ccf23633e"",""name"":""PLN 100.000"",""operatorCode"":""pln"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""electricity"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
0014c629-c7a0-43bd-8aab-f49c57c9f627,"{""active"":true,""adminFee"":0,""basePrice"":24650,""code"":""TLKM25"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""c79590b9-9696-4167-aff4-e943c7b44157"",""name"":""Telkomsel 25.000"",""operatorCode"":""telkomsel"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
001df508-9d35-44f7-a2ee-a0cf85d994a2,"{""active"":true,""adminFee"":0,""basePrice"":24625,""code"":""XL25"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""2e052484-ec93-420d-9a83-f218990e9166"",""name"":""XL 25.000"",""operatorCode"":""xl"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
0020528d-a6fe-43ee-8d44-e5a588ea6568,"{""active"":true,""adminFee"":0,""basePrice"":19875,""code"":""TLKM20"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""59177f4e-a7ae-4684-b6ae-fc331499a894"",""name"":""Telkomsel 20.000"",""operatorCode"":""telkomsel"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
00283002-8c7f-4085-ba85-7ce7904dadd2,"{""active"":true,""adminFee"":0,""basePrice"":96500,""code"":""DATA_TLKM100"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":""12GB +2GB bonus VideoMax  / GiTA Ads (sesuai zona). Masa Aktif 30 Hari ( Khusus pelanggan prabayar ) "",""id"":""769fb87c-5b2e-4918-9386-7a9f0bd67c48"",""name"":""Telkomsel Data 100.000"",""operatorCode"":""telkomsel_data"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""data"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
003041ab-2b92-4ad2-9220-30156cf2fd8c,"{""active"":true,""adminFee"":0,""basePrice"":3575,""code"":""DATA_INDSTY1"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""0f6ce4d4-0f98-4ca4-b011-3ce5bcc4ed8e"",""name"":""Indosat Yellow 1GB (masa aktif 1 hari)"",""operatorCode"":""indosat_data"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""data"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
